Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
102,Hellboy,-,-,-,"$21,903,748","3,303","$21,903,748",Apr 12,Lionsgate,false
103,Shaft,-,-,-,"$21,360,215","2,952","$21,360,215",Jun 14,Warner Bros.,false
104,Jojo Rabbit,-,-,-,"$21,059,726","1,173","$33,370,906",Oct 18,Fox Searchlight Pictures,false
105,The Peanut Butter Falcon,-,-,-,"$20,457,151","1,490","$20,457,151",Aug 9,Roadside Attractions,false
106,UglyDolls,-,-,-,"$20,150,241","3,652","$20,150,241",May 3,STX Entertainment,false
107,Cats,-,-,-,"$19,970,095","3,380","$27,166,770",Dec 20,Universal Pictures,false
108,Unplanned,-,-,-,"$19,006,109","1,516","$19,005,109",Mar 29,Pure Flix Entertainment,false
109,The Favourite,-,-,-,"$18,478,318","1,554","$34,366,783",Nov 23,Fox Searchlight Pictures,false
110,Bombshell,-,-,-,"$18,117,885","1,721","$31,762,808",Dec 13,Lionsgate,false
111,Richard Jewell,-,-,-,"$17,822,217","2,502","$22,345,542",Dec 13,Warner Bros.,false
112,Charlie's Angels,-,-,-,"$17,756,400","3,452","$17,803,077",Nov 15,Sony Pictures Entertainment (SPE),false
113,The Farewell,-,-,-,"$17,695,781",891,"$17,695,781",Jul 12,A24,false
114,Brightburn,-,-,-,"$17,300,439","2,607","$17,300,439",May 24,Screen Gems,false
115,The Good Liar,-,-,-,"$16,973,279","2,454","$17,156,058",Nov 15,Warner Bros.,false
116,The Kid Who Would Be King,-,-,-,"$16,790,790","3,528","$16,790,790",Jan 25,Twentieth Century Fox,false
117,Missing Link,-,-,-,"$16,649,539","3,437","$16,649,539",Apr 12,United Artists Releasing,false
118,Second Act,-,-,-,"$15,737,285","2,607","$39,282,227",Dec 21,STX Entertainment,false
119,Late Night,-,-,-,"$15,499,454","2,220","$15,499,454",Jun 7,Amazon Studios,false
120,Miss Bala,-,-,-,"$15,006,824","2,203","$15,006,824",Feb 1,Sony Pictures Entertainment (SPE),false
121,The Prodigy,-,-,-,"$14,856,291","2,530","$14,856,291",Feb 8,Orion Pictures,false
122,A Star Is Born,-,-,-,"$14,130,981","3,904","$215,288,866",Oct 5,Warner Bros.,false
123,Poms,-,-,-,"$13,631,124","2,750","$13,631,124",May 10,STX Entertainment,false
124,If Beale Street Could Talk,-,-,-,"$12,786,569","1,018","$14,915,773",Dec 14,Annapurna Pictures,false
125,They Shall Not Grow Old,-,-,-,"$12,253,074","1,335","$17,956,913",Dec 17,Warner Bros.,false
126,The Kitchen,-,-,-,"$12,180,032","2,745","$12,180,032",Aug 9,Warner Bros.,false
127,After,-,-,-,"$12,138,565","2,138","$12,138,565",Apr 12,Aviron Pictures,false
128,Blinded by the Light,-,-,-,"$11,901,145","2,307","$11,901,145",Aug 16,Warner Bros.,false
129,The Lighthouse,-,-,-,"$10,772,524",978,"$10,867,104",Oct 18,A24,false
130,Dark Waters,-,-,-,"$10,633,879","2,112","$11,136,084",Nov 22,Focus Features,false
131,Greta,-,-,-,"$10,532,219","2,417","$10,532,219",Mar 1,Focus Features,false
132,The Best of Enemies,-,-,-,"$10,205,616","1,705","$10,205,616",Apr 5,STX Entertainment,false
133,Black Christmas,-,-,-,"$9,867,670","2,625","$10,429,730",Dec 13,Universal Pictures,false
134,Hotel Mumbai,-,-,-,"$9,651,611",930,"$9,651,611",Mar 22,Bleecker Street Media,false
135,Holmes & Watson,-,-,-,"$9,324,376","2,780","$30,573,626",Dec 25,Sony Pictures Entertainment (SPE),false
136,Motherless Brooklyn,-,-,-,"$9,277,736","1,342","$9,277,736",Nov 1,Warner Bros.,false
137,No Manches Frida 2,-,-,-,"$9,270,920",472,"$9,270,920",Mar 15,Pantelion Films,false
138,"Where'd You Go, Bernadette",-,-,-,"$9,198,356","2,404","$9,198,356",Aug 16,United Artists Releasing,false
139,Apollo 11,-,-,-,"$9,039,891",588,"$9,039,891",Mar 1,Neon,false
140,Serenity,-,-,-,"$8,547,045","2,561","$8,547,045",Jan 25,Aviron Pictures,false
141,Anna,-,-,-,"$7,743,794","2,114","$7,743,794",Jun 21,Lionsgate,false
142,Penguins,-,-,-,"$7,699,452","1,815","$7,699,452",Apr 17,Walt Disney Studios Motion Pictures,false
143,Brittany Runs a Marathon,-,-,-,"$7,189,808","1,033","$7,189,808",Aug 23,Amazon Studios,false
144,Mary Queen of Scots,-,-,-,"$6,742,269","1,052","$16,468,499",Dec 7,Focus Features,false
145,The Dead Don't Die,-,-,-,"$6,563,605",690,"$6,563,605",Jun 14,Focus Features,false
146,Jexi,-,-,-,"$6,546,159","2,332","$6,546,159",Oct 11,Lionsgate,false
147,Run the Race,-,-,-,"$6,424,420","1,075","$6,424,420",Feb 22,Roadside Attractions,false
148,Free Solo,-,-,-,"$6,300,518",483,"$17,541,090",Sep 28,National Geographic Entertainment,false
149,The Current War: Director's Cut,-,-,-,"$5,979,540","1,082","$5,979,540",Oct 25,101 Studios,false
150,Captive State,-,-,-,"$5,958,315","2,549","$5,958,315",Mar 15,Focus Features,false
151,The Wandering Earth,-,-,-,"$5,875,487",129,"$5,971,413",Feb 5,-,false
152,Arctic Dogs,-,-,-,"$5,801,249","2,844","$5,801,249",Nov 1,Entertainment Studios Motion Pictures,false
153,Gloria Bell,-,-,-,"$5,611,123","1,127","$5,611,123",Mar 8,A24,false
154,Gully Boy,-,-,-,"$5,566,534",270,"$5,566,534",Feb 14,Viva Pictures,false
155,Stan & Ollie,-,-,-,"$5,386,243",754,"$5,470,235",Dec 28,Sony Pictures Classics,false
156,The Goldfinch,-,-,-,"$5,332,621","2,542","$5,332,621",Sep 13,Warner Bros.,false
157,Don't Let Go,-,-,-,"$5,215,062",922,"$5,215,062",Aug 30,-,false
158,The Mustang,-,-,-,"$5,043,620",527,"$5,043,620",Mar 15,Focus Features,false
159,The Sun Is also a Star,-,-,-,"$4,950,029","2,073","$4,950,029",May 17,Warner Bros.,false
160,Bring the Soul: The Movie,-,-,-,"$4,809,800",873,"$4,809,800",Aug 7,Trafalgar Releasing,false
161,Pavarotti,-,-,-,"$4,600,249",288,"$4,600,249",Jun 7,CBS Films,false
162,Tolkien,-,-,-,"$4,535,154","1,501","$4,535,154",May 10,Fox Searchlight Pictures,false
163,The Last Black Man in San Francisco,-,-,-,"$4,515,719",207,"$4,515,719",Jun 7,A24,false
164,War,-,-,-,"$4,486,000",305,"$4,654,000",Oct 2,Yash Raj Films,false
165,"Cold War
2018 Re-release",-,-,-,"$4,427,217",270,"$4,580,048",Dec 21,Amazon Studios,false
166,Menteur,-,-,-,"$4,403,322",89,"$4,697,364",Jul 12,Entertainment One,false
167,Brian Banks,-,-,-,"$4,376,819","1,240","$4,376,819",Aug 9,Bleecker Street Media,false
168,The Biggest Little Farm,-,-,-,"$4,366,949",285,"$4,366,949",May 10,Neon,false
169,The Grinch,-,-,-,"$4,340,540","4,141","$270,620,950",Nov 9,Universal Pictures,false
170,Amazing Grace,-,-,-,"$4,335,184",263,"$4,450,456",Dec 7,Neon,false
171,Linda Ronstadt: The Sound of My Voice,-,-,-,"$4,240,509",247,"$4,252,657",Sep 6,Greenwich Entertainment,false
172,Uri: The Surgical Strike,-,-,-,"$4,186,168",132,"$4,186,168",Jan 11,-,false
173,Replicas,-,-,-,"$4,046,429","2,329","$4,046,429",Jan 11,Entertainment Studios Motion Pictures,false
174,Pain and Glory,-,-,-,"$3,873,727",266,"$4,567,338",Oct 4,Sony Pictures Classics,false
175,Ne Zha,-,-,-,"$3,695,533",135,"$3,695,533",Aug 29,Well Go USA Entertainment,false
176,Mission Mangal,-,-,-,"$3,659,413",263,"$3,659,413",Aug 15,FIP,false
177,The Oscar Nominated Short Films 2019: Documentary,-,-,-,"$3,531,094",415,"$3,531,094",Feb 8,Shorts International,false
178,BTS World Tour: Love Yourself in Seoul,-,-,-,"$3,509,917",997,"$3,509,917",Jan 26,Fathom Events,false
179,The Beach Bum,-,-,-,"$3,502,600","1,100","$3,502,600",Mar 29,Neon,false
180,Echo in the Canyon,-,-,-,"$3,355,324",147,"$3,355,324",May 24,Greenwich Entertainment,false
181,Creed II,-,-,-,"$3,267,369","3,752","$115,715,889",Nov 21,Metro-Goldwyn-Mayer (MGM),false
182,Jay and Silent Bob Reboot,-,-,-,"$3,258,814",788,"$4,589,490",Oct 15,Saban Films,false
183,Maiden,-,-,-,"$3,164,840",180,"$3,168,978",Jun 28,Sony Pictures Classics,false
184,Simmba,-,-,-,"$2,991,179",301,"$5,102,129",Dec 28,Reliance Big Pictures,false
185,Bharat,-,-,-,"$2,971,549",311,"$2,971,549",Jun 5,Viva Pictures,false
186,Honey Boy,-,-,-,"$2,939,993",460,"$3,012,615",Nov 8,Amazon Studios,false
187,Friends 25th: The One With The Anniversary,-,-,-,"$2,884,827","1,586","$2,884,827",Sep 23,Fathom Events,false
188,Saaho,-,-,-,"$2,872,057",381,"$2,872,057",Aug 29,Yash Raj Films,false
189,Fantastic Beasts: The Crimes of Grindelwald,-,-,-,"$2,774,042","4,163","$159,555,901",Nov 16,Warner Bros.,false
190,Kalank,-,-,-,"$2,729,336",320,"$2,729,336",Apr 17,FIP,false
191,Tod@s Caen,-,-,-,"$2,670,925",371,"$2,670,925",Aug 30,Pantelion Films,false
192,Everybody Knows,-,-,-,"$2,660,165",283,"$2,660,165",Feb 8,Focus Features,false
193,Instant Family,-,-,-,"$2,518,231","3,426","$67,363,237",Nov 16,Paramount Pictures,false
194,The Art of Self-Defense,-,-,-,"$2,410,914",550,"$2,410,914",Jul 12,Bleecker Street Media,false
195,"Arctic
2019 Re-release",-,-,-,"$2,410,795",268,"$2,410,795",Feb 1,Bleecker Street Media,false
196,Welcome to Marwen,-,-,-,"$2,405,625","1,911","$10,763,520",Dec 21,Universal Pictures,false
197,"My People, My Country",-,-,-,"$2,356,683",83,"$2,356,683",Oct 1,-,false
198,Promare,-,-,-,"$2,287,950",701,"$2,313,596",Sep 17,GKIDS,false
199,Super 30,-,-,-,"$2,269,878",317,"$2,269,878",Jul 12,Reliance Big Pictures,false
200,Faustina: Love and Mercy,-,-,-,"$2,243,180",810,"$2,243,180",Oct 28,Fathom Events,false
201,"Gone with the Wind
2019 Re-release",-,-,-,"$2,176,120",717,"$2,176,120",Feb 28,Fathom Events,false
202,3 from Hell,-,-,-,"$2,172,949",667,"$2,172,949",Sep 16,Saban Films,false
203,Total Dhamaal,-,-,-,"$2,167,632",209,"$2,167,632",Feb 22,FIP,false
204,Housefull 4,-,-,-,"$2,109,160",315,"$2,109,160",Oct 25,FIP,false
205,Shoplifters,-,-,-,"$2,092,669",144,"$3,313,513",Nov 23,Magnolia Pictures,false
206,"The Wizard of Oz
2019 Re-release",-,-,-,"$2,076,020",681,"$2,076,020",Jan 27,Fathom Events,false
207,Luce,-,-,-,"$2,010,613",235,"$2,010,613",Aug 2,Neon,false
208,Chhichhore,-,-,-,"$2,004,400",195,"$2,004,400",Sep 6,FIP,false
209,Official Secrets,-,-,-,"$1,988,618",485,"$1,988,546",Aug 30,IFC Films,false
210,Better Days,-,-,-,"$1,921,657",88,"$1,921,657",Nov 8,Well Go USA Entertainment,false
211,Badla,-,-,-,"$1,861,000",115,"$1,861,000",Mar 8,Reliance Big Pictures,false
212,The White Crow,-,-,-,"$1,828,784",365,"$1,828,784",Apr 26,Sony Pictures Classics,false
213,Ben Is Back,-,-,-,"$1,827,480",598,"$3,703,184",Dec 7,Roadside Attractions,false
214,Pandas,-,-,-,"$1,816,106",35,"$7,574,012",Apr 6,Warner Bros.,false
215,The Other Side of Heaven 2: Fire of Faith,-,-,-,"$1,807,216",205,"$1,807,216",Jun 28,ArtAffects Entertainment,false
216,Ip Man 4: The Finale,-,-,-,"$1,775,960",125,"$3,956,031",Dec 25,Well Go USA Entertainment,false
217,Wild Rose,-,-,-,"$1,635,117",195,"$1,635,117",Jun 21,Neon,false
218,The Aftermath,-,-,-,"$1,618,497",344,"$1,618,497",Mar 15,Fox Searchlight Pictures,false
219,Made for More,-,-,-,"$1,589,250",703,"$2,999,134",Aug 2,Fathom Events,false
220,Red Joan,-,-,-,"$1,579,730",195,"$1,579,730",Apr 19,IFC Films,false
221,After the Wedding,-,-,-,"$1,574,258",428,"$1,574,258",Aug 9,Sony Pictures Classics,false
222,Extreme Job,-,-,-,"$1,565,885",26,"$1,565,885",Jan 25,CJ Entertainment,false
223,Waves,-,-,-,"$1,562,941",570,"$1,658,790",Nov 15,A24,false
224,Qué León,-,-,-,"$1,556,856",86,"$2,607,916",Nov 29,Spanglish Movies,false
225,Capernaum,-,-,-,"$1,545,118",136,"$1,661,096",Dec 14,Sony Pictures Classics,false
226,The Kid,-,-,-,"$1,508,593",268,"$1,508,593",Mar 8,Lionsgate,false
227,Kinky Boots the Musical,-,-,-,"$1,414,290",492,"$900,451",Jun 25,Fathom Events,false
228,Destroyer,-,-,-,"$1,411,224",235,"$1,533,324",Dec 25,Annapurna Pictures,false
229,The Wife,-,-,-,"$1,402,934",541,"$9,601,092",Aug 17,Sony Pictures Classics,false
230,El Chicano,-,-,-,"$1,400,603",605,"$1,400,603",May 3,-,false
231,Fantastic Fungi,-,-,-,"$1,358,874",37,"$1,788,322",Sep 20,Area 23a,false
232,1917,-,-,-,"$1,326,178","3,987","$159,227,644",Dec 25,Universal Pictures,false
233,"Spirited Away
2019 Re-release",-,-,-,"$1,322,927",768,"$1,322,927",Oct 27,Fathom Events,false
234,Never Look Away,-,-,-,"$1,299,506",122,"$1,304,042",Nov 30,Sony Pictures Classics,false
235,Pilgrim's Progress,-,-,-,"$1,294,596",758,"$1,294,596",Apr 18,Fathom Events,false
236,Can You Ever Forgive Me?,-,-,-,"$1,273,561",555,"$8,803,865",Oct 19,Fox Searchlight Pictures,false
237,Asterix: The Secret of the Magic Potion,-,-,-,"$1,271,953",76,"$1,271,953",Feb 15,Entertainment One,false
238,Metallica & San Francisco Symphony - S&M2,-,-,-,"$1,252,385",655,"$1,252,385",Oct 9,Trafalgar Releasing,false
239,BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,-,-,-,"$1,226,552",490,"$1,226,552",Oct 27,Fathom Events,false
240,High Life,-,-,-,"$1,225,852",146,"$1,225,852",Apr 5,A24,false
241,All Is True,-,-,-,"$1,200,481",328,"$1,200,481",May 10,Sony Pictures Classics,false
242,Kingdom Men Rising,-,-,-,"$1,188,936",705,"$1,188,936",Apr 29,Fathom Events,false
243,Los Domirriqueños 2,-,-,-,"$1,187,280",82,"$1,187,280",Mar 14,Spanglish Movies,false
244,Ek Ladki Ko Dekha Toh Aisa Laga,-,-,-,"$1,182,636",193,"$1,182,636",Feb 1,FIP,false
245,No Safe Spaces,-,-,-,"$1,159,359",200,"$1,291,514",Oct 25,Atlas Distribution Company,false
246,Nothing to Lose 2,-,-,-,"$1,150,551",105,"$1,150,551",Sep 27,-,false
247,Western Stars,-,-,-,"$1,141,681",553,"$1,581,681",Oct 25,Warner Bros.,false
248,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,-,-,-,"$1,134,786",692,"$1,134,786",Nov 12,Fathom Events,false
249,"My Neighbor Totoro
2019 Re-release",-,-,-,"$1,105,564",767,"$1,105,564",Aug 25,Fathom Events,false
250,Playmobil: The Movie,-,-,-,"$1,104,483","2,337","$1,115,008",Dec 6,STX Entertainment,false
251,Mortal Engines,-,-,-,"$1,056,865","3,103","$15,951,040",Dec 14,Universal Pictures,false
252,Bennett's War,-,-,-,"$1,056,416",970,"$1,056,416",Aug 30,-,false
253,"Princess Mononoke
2019 Re-release",-,-,-,"$1,046,446",752,"$1,046,446",Nov 17,Fathom Events,false
254,Luka Chuppi,-,-,-,"$1,042,905",139,"$1,042,905",Mar 1,Viva Pictures,false
255,The Souvenir,-,-,-,"$1,036,737",145,"$1,036,737",May 17,A24,false
256,Noah,-,-,-,"$1,035,603",669,"$1,035,603",Apr 9,Fathom Events,false
257,El Coyote,-,-,-,"$1,026,707",297,"$1,101,470",Oct 4,-,false
258,Perfect Strangers,-,-,-,"$1,014,507",132,"$1,014,507",Jan 11,Pantelion Films,false
259,Marianne & Leonard: Words of Love,-,-,-,"$1,012,034",101,"$1,012,034",Jul 5,Roadside Attractions,false
260,"Kiki's Delivery Service
2019 Re-release",-,-,-,"$1,004,057",753,"$1,004,057",Jul 28,Fathom Events,false
261,BlacKkKlansman,-,-,-,"$1,003,380","1,914","$49,275,340",Aug 10,Focus Features,false
262,Jesus Is King,-,-,-,"$973,000",372,"$973,000",Oct 25,IMAX,false
263,Rush: Cinema Strangiato 2019,-,-,-,"$960,073",494,"$960,073",Aug 21,Trafalgar Releasing,false
264,The Fighting Preacher,-,-,-,"$954,744",37,"$954,641",Jul 24,Purdie Distribution,false
