Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Avengers: Endgame,-,-,-,"$858,373,000","4,662","$858,373,000",Apr 26,Walt Disney Studios Motion Pictures,false
2,The Lion King,-,-,-,"$543,638,043","4,802","$543,638,043",Jul 19,Walt Disney Studios Motion Pictures,false
3,Toy Story 4,-,-,-,"$434,038,008","4,575","$434,038,008",Jun 21,Walt Disney Studios Motion Pictures,false
4,Frozen II,-,-,-,"$430,144,682","4,440","$477,373,578",Nov 22,Walt Disney Studios Motion Pictures,false
5,Captain Marvel,-,-,-,"$426,829,839","4,310","$426,829,839",Mar 8,Walt Disney Studios Motion Pictures,false
6,Star Wars: Episode IX - The Rise of Skywalker,-,-,-,"$390,706,234","4,406","$515,202,542",Dec 20,Walt Disney Studios Motion Pictures,false
7,Spider-Man: Far from Home,-,-,-,"$390,532,085","4,634","$390,532,085",Jul 2,Sony Pictures Entertainment (SPE),false
8,Aladdin,-,-,-,"$355,559,216","4,476","$355,559,216",May 24,Walt Disney Studios Motion Pictures,false
9,Joker,-,-,-,"$333,772,511","4,374","$335,451,311",Oct 4,Warner Bros.,false
10,It Chapter Two,-,-,-,"$211,593,228","4,570","$211,593,228",Sep 6,Warner Bros.,false
11,Jumanji: The Next Level,-,-,-,"$192,094,536","4,227","$320,314,960",Dec 13,Sony Pictures Entertainment (SPE),false
12,Us,-,-,-,"$175,084,580","3,743","$175,084,580",Mar 22,Universal Pictures,false
13,Fast & Furious Presents: Hobbs & Shaw,-,-,-,"$173,956,935","4,344","$173,956,935",Aug 2,Universal Pictures,false
14,John Wick: Chapter 3 - Parabellum,-,-,-,"$171,015,687","3,850","$171,015,687",May 17,Lionsgate,false
15,How to Train Your Dragon: The Hidden World,-,-,-,"$160,799,505","4,286","$160,799,505",Feb 22,Universal Pictures,false
16,The Secret Life of Pets 2,-,-,-,"$157,949,395","4,564","$158,874,395",Jun 7,Universal Pictures,false
17,Pokémon Detective Pikachu,-,-,-,"$144,105,346","4,248","$144,105,346",May 10,Warner Bros.,false
18,Once Upon a Time... In Hollywood,-,-,-,"$141,076,968","3,659","$142,502,728",Jul 26,Sony Pictures Entertainment (SPE),false
19,Shazam!,-,-,-,"$140,371,656","4,306","$140,371,656",Apr 5,Warner Bros.,false
20,Aquaman,-,-,-,"$136,001,983","4,184","$335,061,807",Dec 21,Warner Bros.,false
21,Knives Out,-,-,-,"$115,711,579","3,461","$165,363,234",Nov 27,Lionsgate,false
22,Dumbo,-,-,-,"$114,766,307","4,259","$114,766,307",Mar 29,Walt Disney Studios Motion Pictures,false
23,Maleficent: Mistress of Evil,-,-,-,"$113,294,737","3,820","$113,929,605",Oct 18,Walt Disney Studios Motion Pictures,false
24,Glass,-,-,-,"$111,048,468","3,844","$111,048,468",Jan 18,Universal Pictures,false
25,Godzilla: King of the Monsters,-,-,-,"$110,500,138","4,108","$110,500,138",May 31,Warner Bros.,false
26,The Upside,-,-,-,"$108,252,517","3,568","$108,252,517",Jan 11,STX Entertainment,false
27,Ford v Ferrari,-,-,-,"$107,196,444","3,746","$117,624,357",Nov 15,Twentieth Century Fox,false
28,The Lego Movie 2: The Second Part,-,-,-,"$105,806,508","4,303","$105,806,508",Feb 8,Warner Bros.,false
29,Hustlers,-,-,-,"$104,960,643","3,525","$104,963,598",Sep 13,STX Entertainment,false
30,The Addams Family,-,-,-,"$97,185,807","4,107","$100,044,905",Oct 11,United Artists Releasing,false
31,Downton Abbey,-,-,-,"$96,854,135","3,548","$96,854,135",Sep 20,Focus Features,false
32,Rocketman,-,-,-,"$96,368,160","3,610","$96,368,160",May 31,Paramount Pictures,false
33,Alita: Battle Angel,-,-,-,"$85,710,210","3,802","$85,838,210",Feb 14,Twentieth Century Fox,false
34,Good Boys,-,-,-,"$83,140,306","3,458","$83,140,306",Aug 16,Universal Pictures,false
35,Spider-Man: Into the Spider-Verse,-,-,-,"$82,094,865","3,813","$190,241,310",Dec 14,Sony Pictures Entertainment (SPE),false
36,Men in Black: International,-,-,-,"$80,001,807","4,224","$80,001,807",Jun 14,Sony Pictures Entertainment (SPE),false
37,Annabelle Comes Home,-,-,-,"$74,152,591","3,613","$74,152,591",Jun 26,Warner Bros.,false
38,Yesterday,-,-,-,"$73,286,650","2,755","$73,286,650",Jun 28,Universal Pictures,false
39,A Madea Family Funeral,-,-,-,"$73,257,045","2,442","$73,257,045",Mar 1,Lionsgate,false
40,Zombieland: Double Tap,-,-,-,"$72,930,156","3,468","$73,123,082",Oct 18,Sony Pictures Entertainment (SPE),false
41,Angel Has Fallen,-,-,-,"$69,030,436","3,336","$69,030,436",Aug 23,Lionsgate,false
42,Scary Stories to Tell in the Dark,-,-,-,"$68,947,075","3,135","$68,947,075",Aug 9,Lionsgate,false
43,Mary Poppins Returns,-,-,-,"$66,027,977","4,090","$171,958,438",Dec 19,Walt Disney Studios Motion Pictures,false
44,X-Men: Dark Phoenix,-,-,-,"$65,845,974","3,721","$65,845,974",Jun 7,Twentieth Century Fox,false
45,Terminator: Dark Fate,-,-,-,"$62,253,077","4,086","$62,253,077",Nov 1,Paramount Pictures,false
46,Abominable,-,-,-,"$60,679,265","4,248","$60,716,390",Sep 27,Universal Pictures,false
47,Dora and the Lost City of Gold,-,-,-,"$60,477,943","3,735","$60,477,943",Aug 9,Paramount Pictures,false
48,Escape Room,-,-,-,"$57,005,601","2,717","$57,005,601",Jan 4,Sony Pictures Entertainment (SPE),false
49,A Beautiful Day in the Neighborhood,-,-,-,"$56,706,993","3,491","$61,704,055",Nov 22,Sony Pictures Entertainment (SPE),false
50,Midway,-,-,-,"$56,279,164","3,242","$56,846,802",Nov 8,Lionsgate,false
51,Bumblebee,-,-,-,"$55,769,470","3,597","$127,195,589",Dec 21,Paramount Pictures,false
52,The Curse of la Llorona,-,-,-,"$54,733,739","3,372","$54,733,739",Apr 19,Warner Bros.,false
53,Pet Sematary,-,-,-,"$54,724,696","3,585","$54,724,696",Apr 5,Paramount Pictures,false
54,What Men Want,-,-,-,"$54,611,903","2,912","$54,611,903",Feb 8,Paramount Pictures,false
55,Green Book,-,-,-,"$52,927,165","2,648","$85,080,171",Nov 16,Universal Pictures,false
56,Ad Astra,-,-,-,"$50,188,370","3,460","$50,188,370",Sep 20,Twentieth Century Fox,false
57,Isn't It Romantic,-,-,-,"$48,791,187","3,444","$48,791,187",Feb 13,Warner Bros.,false
58,Gemini Man,-,-,-,"$48,546,770","3,642","$48,546,770",Oct 11,Paramount Pictures,false
59,Ma,-,-,-,"$45,896,028","2,816","$45,896,028",May 31,Universal Pictures,false
60,Five Feet Apart,-,-,-,"$45,729,221","2,866","$45,729,221",Mar 15,Lionsgate,false
61,Wonder Park,-,-,-,"$45,216,793","3,838","$45,216,793",Mar 15,Paramount Pictures,false
62,Rambo: Last Blood,-,-,-,"$44,819,352","3,618","$44,819,352",Sep 20,Lionsgate,false
63,Playing with Fire,-,-,-,"$44,151,387","3,185","$44,451,847",Nov 8,Paramount Pictures,false
64,Harriet,-,-,-,"$42,547,700","2,186","$43,082,155",Nov 1,Focus Features,false
65,A Dog's Way Home,-,-,-,"$42,004,346","3,090","$42,004,346",Jan 11,Sony Pictures Entertainment (SPE),false
66,The Angry Birds Movie 2,-,-,-,"$41,667,116","3,869","$41,667,116",Aug 13,Sony Pictures Entertainment (SPE),false
67,Little,-,-,-,"$40,860,481","2,667","$40,860,481",Apr 12,Universal Pictures,false
68,Queen & Slim,-,-,-,"$40,718,945","1,715","$43,808,310",Nov 27,Universal Pictures,false
69,Breakthrough,-,-,-,"$40,713,082","2,913","$40,713,082",Apr 17,Twentieth Century Fox,false
70,The Mule,-,-,-,"$39,084,073","3,329","$103,804,407",Dec 14,Warner Bros.,false
71,Crawl,-,-,-,"$39,014,193","3,170","$39,014,193",Jul 12,Paramount Pictures,false
72,Little Women,-,-,-,"$37,593,127","3,308","$108,101,214",Dec 25,Sony Pictures Entertainment (SPE),false
73,The Intruder,-,-,-,"$35,419,122","2,231","$35,419,122",May 3,Screen Gems,false
74,The Hustle,-,-,-,"$35,417,038","3,077","$35,417,038",May 10,United Artists Releasing,false
75,Last Christmas,-,-,-,"$35,116,450","3,454","$35,150,750",Nov 8,Universal Pictures,false
76,Overcomer,-,-,-,"$34,746,945","2,293","$34,746,945",Aug 23,Affirm Films,false
77,Cold Pursuit,-,-,-,"$32,138,862","2,630","$32,138,862",Feb 8,Lionsgate,false
78,Doctor Sleep,-,-,-,"$31,543,097","3,855","$31,581,712",Nov 8,Warner Bros.,false
79,Dragon Ball Super: Broly,-,-,-,"$30,712,119","1,267","$30,712,119",Jan 16,FUNimation Entertainment,false
80,Long Shot,-,-,-,"$30,316,271","3,230","$30,316,271",May 3,Lionsgate,false
81,Spies in Disguise,-,-,-,"$29,323,688","3,502","$66,757,013",Dec 25,Twentieth Century Fox,false
82,Child's Play,-,-,-,"$29,208,403","3,007","$29,208,403",Jun 21,United Artists Releasing,false
83,Ready or Not,-,-,-,"$28,714,231","2,998","$28,714,231",Aug 21,Fox Searchlight Pictures,false
84,Happy Death Day 2U,-,-,-,"$28,148,130","3,212","$28,148,130",Feb 13,Universal Pictures,false
85,Vice,-,-,-,"$28,060,115","2,534","$47,836,282",Dec 25,Annapurna Pictures,false
86,21 Bridges,-,-,-,"$27,747,269","2,665","$28,539,757",Nov 22,STX Entertainment,false
87,Midsommar,-,-,-,"$27,426,361","2,707","$27,426,361",Jul 3,A24,false
88,Bohemian Rhapsody,-,-,-,"$26,614,909","4,000","$216,428,042",Nov 2,Twentieth Century Fox,false
89,The Art of Racing in the Rain,-,-,-,"$26,395,642","2,765","$26,395,642",Aug 9,Twentieth Century Fox,false
90,Countdown,-,-,-,"$25,594,369","2,675","$25,621,766",Oct 25,STX Entertainment,false
91,Uncut Gems,-,-,-,"$25,253,119","2,686","$50,023,780",Dec 13,A24,false
92,Judy,-,-,-,"$24,017,545","1,627","$24,313,888",Sep 27,Roadside Attractions,false
93,Ralph Breaks the Internet,-,-,-,"$23,474,857","4,017","$201,091,711",Nov 21,Walt Disney Studios Motion Pictures,false
94,Fighting with My Family,-,-,-,"$22,958,886","2,855","$22,958,886",Feb 14,Metro-Goldwyn-Mayer (MGM),false
95,On the Basis of Sex,-,-,-,"$22,946,065","1,957","$24,622,687",Dec 25,Focus Features,false
96,A Dog's Journey,-,-,-,"$22,782,371","3,279","$22,782,371",May 17,Universal Pictures,false
97,Booksmart,-,-,-,"$22,680,962","2,518","$22,680,962",May 24,United Artists Releasing,false
98,Parasite,-,-,-,"$22,633,689","2,001","$53,369,749",Oct 11,Neon,false
99,Stuber,-,-,-,"$22,370,452","3,050","$22,370,452",Jul 12,Twentieth Century Fox,false
100,47 Meters Down: Uncaged,-,-,-,"$22,260,900","2,883","$22,260,900",Aug 16,Entertainment Studios Motion Pictures,false
101,Black and Blue,-,-,-,"$22,047,506","2,062","$22,055,313",Oct 25,Screen Gems,false
