Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
197,Palm Springs,-,-,-,"$164,000",66,"$164,000",Jul 10,Neon,false
198,A Call to Spy,-,-,-,"$158,864",79,"$159,014",Oct 2,IFC Films,false
199,"Love Story
50th Anniversary",-,-,-,"$153,504",650,"$153,504",Feb 9,Fathom Events,false
200,The Dark and the Wicked,-,-,-,"$149,011",68,"$157,252",Nov 6,RLJE Films,false
201,The Burnt Orange Heresy,-,-,-,"$144,201",139,"$144,201",Mar 6,Sony Pictures Classics,false
202,Wendy,-,-,-,"$143,518",165,"$143,518",Feb 28,Fox Searchlight Pictures,false
203,Incitement,-,-,-,"$140,306",21,"$140,306",Jan 31,Greenwich Entertainment,false
204,Archive,-,-,-,"$139,593",26,"$139,593",Jul 10,Vertical Entertainment,false
205,Burden,-,-,-,"$139,270",109,"$139,270",Feb 28,101 Studios,false
206,Most Wanted,-,-,-,"$138,000",72,"$138,000",Jun 10,Saban Films,false
207,The Nest,-,-,-,"$137,350",301,"$137,886",Sep 18,IFC Films,false
208,Beneath Us,-,-,-,"$137,260",162,"$137,260",Mar 6,Vital Pictures,false
209,Lupin III: The First,-,-,-,"$136,368",418,"$136,368",Oct 16,GKIDS,false
210,The Times of Bill Cunningham,-,-,-,"$134,288",19,"$134,288",Feb 14,Greenwich Entertainment,false
211,No Safe Spaces,-,-,-,"$132,155",200,"$1,291,514",Oct 25,Atlas Distribution Company,false
212,Alita: Battle Angel,-,-,-,"$128,000","3,802","$85,838,210",Feb 14,Twentieth Century Fox,false
213,"14 Days, 12 Nights",-,-,-,"$122,530",19,"$122,530",Mar 6,Entertainment One,false
214,Invisible Life,-,-,-,"$122,316",18,"$146,535",Dec 20,Amazon Studios,false
215,Always and Forever,-,-,-,"$120,805",11,"$197,464",Nov 20,Variance Films,false
216,Ammonite,-,-,-,"$118,185",280,"$160,930",Nov 13,Neon,false
217,The Man Standing Next,-,-,-,"$112,915",22,"$113,527",Jan 24,Capelight Pictures,false
218,Corpus Christi,-,-,-,"$110,430",23,"$127,240",Feb 14,Film Movement,false
219,Hope Gap,-,-,-,"$104,732",132,"$104,732",Mar 6,Roadside Attractions,false
220,Citizen K,-,-,-,"$102,707",15,"$120,411",Nov 22,Greenwich Entertainment,false
221,"Grease
2020 Re-release",-,-,-,"$102,000",75,"$102,000",Jul 31,Paramount Pictures,false
222,Made in Italy,-,-,-,"$101,399",111,"$101,339",Aug 7,IFC Films,false
223,First Cow,-,-,-,"$101,068",25,"$101,068",Mar 6,A24,false
224,The Silencing,-,-,-,"$100,746",79,"$100,746",Aug 14,Saban Films,false
225,"The Muppet Christmas Carol
2020 Re-release",-,-,-,"$100,000",725,"$100,000",Dec 18,Walt Disney Studios Motion Pictures,false
226,The Woman Who Loves Giraffes,-,-,-,"$97,386",22,"$113,858",Oct 4,Zeitgeist Films,false
227,Come to Daddy,-,-,-,"$96,713",29,"$96,713",Feb 7,Saban Films,false
228,The Wandering Earth,-,-,-,"$95,926",129,"$5,971,413",Feb 5,-,false
229,"The Godfather Part III
2020 Re-release",-,-,-,"$95,330",179,"$95,330",Dec 4,Paramount Pictures,false
230,The Lighthouse,-,-,-,"$94,580",978,"$10,867,104",Oct 18,A24,false
231,First Lady,-,-,-,"$93,298",68,"$93,298",Feb 14,ArtAffects Entertainment,false
232,Tesla,-,-,-,"$92,996",108,"$93,147",Aug 21,IFC Films,false
233,Miss Juneteenth,-,-,-,"$92,349",11,"$92,349",Jun 19,Vertical Entertainment,false
234,Archenemy,-,-,-,"$91,463",94,"$121,642",Dec 11,RLJE Films,false
235,"On the Basis of Sex
2020 Re-release",-,-,-,"$82,150",829,"$82,150",Sep 25,Focus Features,false
236,Honeyland,-,-,-,"$82,132",56,"$815,082",Jul 26,Neon,false
237,Riverdance 25th Anniversary Show,-,-,-,"$81,879",278,"$81,879",Mar 15,Trafalgar Releasing,false
238,StarDog and TurboCat,-,-,-,"$80,496",6,"$80,490",Jun 19,Viva Pictures,false
239,Honey Boy,-,-,-,"$72,623",460,"$3,012,615",Nov 8,Amazon Studios,false
240,Pray: The Story of Patrick Peyton,-,-,-,"$72,347",51,"$72,347",Oct 9,ArtAffects Entertainment,false
241,"Come and See
2020 Re-release",-,-,-,"$71,909",3,"$71,909",Feb 21,Janus Films,false
242,How to Build a Girl,-,-,-,"$70,632",9,"$70,632",May 8,IFC Films,false
243,Chal Mera Putt 2,-,-,-,"$65,000",-,"$445,000",Mar 13,-,false
244,Waves,-,-,-,"$62,244",570,"$1,658,790",Nov 15,A24,false
245,Heaven,-,-,-,"$62,102",250,"$259,323",Oct 2,LAMA Distribution,false
246,We Summon the Darkness,-,-,-,"$60,794",10,"$60,794",May 22,Saban Films,false
247,My Brothers' Crossing,-,-,-,"$58,925",73,"$59,395",Sep 3,Atlas Distribution Company,false
248,Summerland,-,-,-,"$57,445",99,"$58,498",Jul 31,IFC Films,false
249,Varda by Agnès,-,-,-,"$56,393",10,"$160,765",Nov 22,Janus Films,false
250,The Whistlers,-,-,-,"$55,608",8,"$55,608",Feb 28,Magnolia Pictures,false
251,A Simple Wedding,-,-,-,"$54,415",10,"$54,415",Feb 14,Blue Fox Entertainment,false
252,Leap,-,-,-,"$51,900",108,"$83,074",Sep 25,Jetsen Huashi Media US,false
253,"Miss Fisher & the Crypt of Tears
Special Screenings",-,-,-,"$51,032",18,"$51,032",Mar 13,-,false
254,The Wonderland,-,-,-,"$50,876",143,"$50,876",Jan 20,Eleven Arts,false
255,Bolshoi Ballet: The Nutcracker,-,-,-,"$50,000",401,"$303,000",Dec 15,Fathom Events,false
256,"Henchmen
2020 Re-release",-,-,-,"$49,676",181,"$49,676",Oct 9,Vertical Entertainment,false
257,The Way I See It,-,-,-,"$49,030",124,"$49,030",Sep 18,Focus Features,false
258,VHYes,-,-,-,"$47,037",23,"$47,037",Jan 17,Oscilloscope,false
259,Play the Flute,-,-,-,"$46,832",11,"$254,475",Jan 28,Five & Two Pictures,false
260,Charlie's Angels,-,-,-,"$46,677","3,452","$17,803,077",Nov 15,Sony Pictures Entertainment (SPE),false
261,Enter the Fat Dragon,-,-,-,"$44,604",11,"$46,855",Feb 14,Well Go USA Entertainment,false
262,Saint Frances,-,-,-,"$44,330",23,"$44,330",Feb 28,Oscilloscope,false
263,"It's A Wonderful Life
2020 Re-release",-,-,-,"$44,000",250,"$44,000",Dec 18,Paramount Pictures,false
264,Doctor Sleep,-,-,-,"$38,615","3,855","$31,581,712",Nov 8,Warner Bros.,false
265,"The White Sheik
2019 re-release",-,-,-,"$38,466",3,"$50,850",Dec 25,Rialto Pictures,false
266,Abominable,-,-,-,"$37,125","4,248","$60,716,390",Sep 27,Universal Pictures,false
267,Three Christs,-,-,-,"$36,723",31,"$36,723",Jan 3,IFC Films,false
268,Juvenile Delinquents,-,-,-,"$36,604",4,"$34,292",Mar 6,Big Bull Productions,false
269,Solo Brathuke So Better,-,-,-,"$35,000",30,"$45,000",Dec 25,Zee Studios,false
270,"A Christmas Story
2020 Re-release",-,-,-,"$35,000",150,"$35,000",Dec 25,Warner Bros.,false
271,Last Christmas,-,-,-,"$34,300","3,454","$35,150,750",Nov 8,Universal Pictures,false
272,"RBG
2020 Re-release",-,-,-,"$34,000",878,"$34,000",Sep 25,Magnolia Pictures,false
273,True History of the Kelly Gang,-,-,-,"$33,817",5,"$33,817",Apr 24,IFC Films,false
