Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
373,"West Side Story
2018 Re-release",-,-,-,"$398,670",616,"$398,670",Jun 24,Fathom Events,false
374,Space Mutiny,-,-,-,"$397,887",725,"$397,887",Jun 14,Fathom Events,false
375,"Krull
2018 Re-release",-,-,-,"$397,157",638,"$397,157",Aug 23,Fathom Events,false
376,"Vertigo
2018 Re-release",-,-,-,"$394,212",662,"$394,212",Mar 18,Fathom Events,false
377,Soorma,-,-,-,"$390,077",50,"$390,077",Jul 13,Sony Pictures Entertainment (SPE),false
378,Hubble 3D,-,-,-,"$387,265",151,"$52,522,904",Mar 19,Warner Bros.,false
379,Attack on Titan: Smoke Signal,-,-,-,"$377,334",173,"$377,334",Jul 10,FUNimation Entertainment,false
380,Oh Lucy!,-,-,-,"$375,391",41,"$375,391",Mar 2,Film Movement,false
381,Grace Jones: Bloodlight and Bami,-,-,-,"$375,208",36,"$375,208",Apr 13,Kino Lorber,false
382,"Jurassic Park
2018 Re-release",-,-,-,"$374,238",532,"$374,238",Sep 16,Fathom Events,false
383,"Pom Poko
2018 Re-release",-,-,-,"$372,405",758,"$372,405",Jun 17,Fathom Events,false
384,Believer,-,-,-,"$365,639",32,"$365,639",Jun 8,Well Go USA Entertainment,false
385,Mountain,-,-,-,"$365,412",35,"$365,412",May 11,Greenwich Entertainment,false
386,Kusama: Infinity,-,-,-,"$360,931",22,"$360,931",Sep 7,Magnolia Pictures,false
387,Jane and Emma,-,-,-,"$357,769",29,"$380,030",Oct 12,Excel Entertainment,false
388,Get Out,-,-,-,"$353,795","3,143","$176,040,665",Feb 24,Universal Pictures,false
389,Suicide the Ripple Effect,-,-,-,"$347,468",25,"$347,468",Feb 23,GathrFilms,false
390,Faces Places,-,-,-,"$337,139",42,"$953,717",Oct 6,Cohen Media Group,false
391,"Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice
Double Bill",-,-,-,"$335,697",621,"$335,697",Jul 28,Fathom Events,false
392,Russ Taff: I Still Believe,-,-,-,"$334,983",693,"$334,983",Oct 30,Fathom Events,false
393,Shine,-,-,-,"$333,388",609,"$333,388",Oct 5,GVN Releasing,false
394,Hichki,-,-,-,"$330,279",73,"$330,279",Mar 23,Yash Raj Films,false
395,Flower,-,-,-,"$328,188",101,"$328,188",Mar 16,The Orchard,false
396,The Bolshoi Ballet: Live From Moscow - The Nutcracker,-,-,-,"$323,928",360,"$323,928",Dec 23,Fathom Events,false
397,The Opera House,-,-,-,"$320,079",627,"$320,079",Jan 13,Fathom Events,false
398,Under the Sea 3D,-,-,-,"$319,071",108,"$36,262,926",Feb 13,Warner Bros.,false
399,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,-,-,-,"$313,088",361,"$313,088",Jan 21,Fathom Events,false
400,Great Performances at the Met: MET Opera: Magic Flute,-,-,-,"$307,686",647,"$307,686",Dec 1,Fathom Events,false
401,Damsel,-,-,-,"$305,136",42,"$305,136",Jun 22,Magnolia Pictures,false
402,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,-,-,-,"$304,482",486,"$304,482",Dec 1,Fathom Events,false
403,The Bolshoi Ballet: Live From Moscow - Giselle,-,-,-,"$302,681",357,"$302,681",Apr 8,Fathom Events,false
404,In the Fade,-,-,-,"$300,123",35,"$321,011",Dec 27,Magnolia Pictures,false
405,"Sunset Blvd.
2018 Re-release",-,-,-,"$299,645",666,"$299,645",May 13,Fathom Events,false
406,More Than Funny,-,-,-,"$290,498",595,"$290,498",Oct 18,Fathom Events,false
407,Son of Bigfoot,-,-,-,"$289,308",30,"$289,308",Mar 30,Viva Pictures,false
408,Andy Irons: Kissed by God,-,-,-,"$285,933",495,"$285,933",May 25,Fathom Events,false
409,Golden Job,-,-,-,"$285,795",34,"$285,795",Sep 28,Well Go USA Entertainment,false
410,But Deliver Us from Evil,-,-,-,"$285,169",247,"$285,169",Feb 9,Indican Pictures,false
411,"Disney's Newsies: The Broadway Musical!
2018 Re-release",-,-,-,"$282,429",647,"$282,429",Jul 26,Fathom Events,false
412,Science Fair,-,-,-,"$276,195",36,"$276,195",Sep 14,National Geographic Entertainment,false
413,Kings,-,-,-,"$274,635",215,"$274,635",Apr 27,The Orchard,false
414,The Endless,-,-,-,"$272,020",20,"$272,020",Apr 6,Well Go USA Entertainment,false
415,Doctor Who,-,-,-,"$264,629",780,"$264,629",Jun 11,Fathom Events,false
416,Detective Dee: The Four Heavenly Kings,-,-,-,"$262,963",31,"$262,963",Jul 27,Well Go USA Entertainment,false
417,Eating You Alive,-,-,-,"$260,534",570,"$260,534",Apr 5,Fathom Events,false
418,What They Had,-,-,-,"$260,136",53,"$260,136",Oct 19,Bleecker Street Media,false
419,The King,-,-,-,"$259,291",45,"$259,291",Jun 22,Oscilloscope,false
420,"Across the Universe
2018 Re-release",-,-,-,"$258,618",439,"$258,618",Jul 29,Fathom Events,false
421,"Big
2018 Re-release",-,-,-,"$258,507",722,"$258,507",Jul 15,Fathom Events,false
422,The Square,-,-,-,"$258,447",70,"$1,502,347",Oct 27,Magnolia Pictures,false
423,Back to Burgundy,-,-,-,"$257,610",18,"$257,610",Mar 23,Music Box Films,false
424,London Fields,-,-,-,"$252,676",613,"$252,676",Oct 26,GVN Releasing,false
425,Best F(r)iends: Volume 1,-,-,-,"$252,410",504,"$252,410",Mar 30,Fathom Events,false
426,Batti Gul Meter Chalu,-,-,-,"$249,539",64,"$249,539",Sep 21,Eros International,false
427,The Fireflies Are Gone,-,-,-,"$245,006",25,"$245,006",Sep 21,Entertainment One,false
428,RWBY: Argus Limited,-,-,-,"$238,379",420,"$238,379",Oct 25,Fathom Events,false
429,Generation Wealth,-,-,-,"$237,709",45,"$237,709",Jul 20,Magnolia Pictures,false
430,Alien Intrusion: Unmasking a Deception,-,-,-,"$237,411",727,"$237,411",Jan 11,Fathom Events,false
431,Skate Kitchen,-,-,-,"$236,799",34,"$236,799",Aug 10,Magnolia Pictures,false
432,Happy End,-,-,-,"$236,776",20,"$301,718",Dec 22,Sony Pictures Classics,false
433,"Hamlet
2018 Re-release",-,-,-,"$235,229",480,"$235,229",Mar 8,Fathom Events,false
434,"Superman
2018 Re-release",-,-,-,"$233,585",394,"$233,585",Nov 25,Fathom Events,false
435,Youth,-,-,-,"$232,245",35,"$1,891,956",Dec 15,China Lion Film Distribution,false
436,Bishôjo senshi Sailor Moon Super S Special,-,-,-,"$231,434",580,"$231,434",Aug 4,Fathom Events,false
437,Borg vs. McEnroe,-,-,-,"$231,346",51,"$231,346",Apr 13,Neon,false
438,Matangi/Maya/M.I.A,-,-,-,"$230,808",9,"$230,808",Sep 28,Abramorama,false
439,MFKZ,-,-,-,"$229,423",436,"$229,423",Oct 11,GKIDS,false
440,Little Pink House,-,-,-,"$220,948",13,"$220,948",Apr 20,Dada Films,false
441,Mazinger Z: INFINITY,-,-,-,"$220,682",495,"$220,682",Feb 11,Fathom Events,false
442,Fragments of Truth,-,-,-,"$219,342",616,"$219,342",Apr 24,Fathom Events,false
443,A Bad Moms Christmas,-,-,-,"$218,671","3,615","$72,110,659",Nov 1,STX Entertainment,false
444,Dark Money,-,-,-,"$217,932",20,"$217,932",Jul 13,PBS Distribution,false
445,Getting Grace,-,-,-,"$217,812",60,"$217,812",Mar 23,Hannover House,false
446,"The Producers
2018 Re-release",-,-,-,"$216,807",664,"$216,807",Jun 3,Fathom Events,false
447,"The Treasure of the Sierra Madre
2018 Re-release",-,-,-,"$215,295",631,"$215,295",Jan 14,Fathom Events,false
448,Jane,-,-,-,"$214,603",96,"$1,723,379",Oct 20,Abramorama,false
449,Agent Mr. Chan,-,-,-,"$208,351",10,"$208,351",Feb 23,China Lion Film Distribution,false
450,The Dating Project,-,-,-,"$208,100",615,"$208,100",Apr 17,Fathom Events,false
451,The Guilty,-,-,-,"$207,140",31,"$207,140",Oct 19,Magnolia Pictures,false
452,Default,-,-,-,"$203,701",23,"$203,775",Nov 30,CJ Entertainment,false
