Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Star Wars: Episode VIII - The Last Jedi,-,-,-,"$517,218,368","4,232","$620,181,382",Dec 15,Walt Disney Studios Motion Pictures,false
2,Beauty and the Beast,-,-,-,"$504,014,165","4,210","$504,014,165",Mar 17,Walt Disney Studios Motion Pictures,false
3,Wonder Woman,-,-,-,"$412,563,408","4,165","$412,563,408",Jun 2,Warner Bros.,false
4,Guardians of the Galaxy Vol. 2,-,-,-,"$389,813,101","4,347","$389,813,101",May 5,Walt Disney Studios Motion Pictures,false
5,Spider-Man: Homecoming,-,-,-,"$334,201,140","4,348","$334,201,140",Jul 7,Sony Pictures Entertainment (SPE),false
6,It,-,-,-,"$327,481,748","4,148","$327,481,748",Sep 8,Warner Bros.,false
7,Thor: Ragnarok,-,-,-,"$311,225,150","4,080","$315,058,289",Nov 3,Walt Disney Studios Motion Pictures,false
8,Despicable Me 3,-,-,-,"$264,624,300","4,535","$264,624,300",Jun 30,Universal Pictures,false
9,Logan,-,-,-,"$226,277,068","4,071","$226,277,068",Mar 3,Twentieth Century Fox,false
10,The Fate of the Furious,-,-,-,"$226,008,385","4,329","$226,008,385",Apr 14,Universal Pictures,false
11,Justice League,-,-,-,"$225,546,295","4,051","$229,024,295",Nov 17,Warner Bros.,false
12,Dunkirk,-,-,-,"$188,045,546","4,014","$188,045,546",Jul 21,Warner Bros.,false
13,Coco,-,-,-,"$179,834,199","3,987","$210,460,015",Nov 22,Walt Disney Studios Motion Pictures,false
14,The Lego Batman Movie,-,-,-,"$175,750,384","4,088","$175,750,384",Feb 10,Warner Bros.,false
15,Get Out,-,-,-,"$175,686,870","3,143","$176,040,665",Feb 24,Universal Pictures,false
16,The Boss Baby,-,-,-,"$175,003,033","3,829","$175,003,033",Mar 31,Twentieth Century Fox,false
17,Pirates of the Caribbean: Dead Men Tell No Tales,-,-,-,"$172,558,876","4,276","$172,558,876",May 26,Walt Disney Studios Motion Pictures,false
18,Jumanji: Welcome to the Jungle,-,-,-,"$170,863,915","3,849","$404,515,480",Dec 20,Sony Pictures Entertainment (SPE),false
19,Kong: Skull Island,-,-,-,"$168,052,812","3,846","$168,052,812",Mar 10,Warner Bros.,false
20,Hidden Figures,-,-,-,"$167,620,331","3,416","$169,607,287",Dec 25,Twentieth Century Fox,false
21,Cars 3,-,-,-,"$152,901,115","4,256","$152,901,115",Jun 16,Walt Disney Studios Motion Pictures,false
22,War for the Planet of the Apes,-,-,-,"$146,880,162","4,100","$146,880,162",Jul 14,Twentieth Century Fox,false
23,Split,-,-,-,"$138,291,365","3,373","$138,291,365",Jan 20,Universal Pictures,false
24,Transformers: The Last Knight,-,-,-,"$130,168,683","4,132","$130,168,683",Jun 21,Paramount Pictures,false
25,Rogue One: A Star Wars Story,-,-,-,"$123,941,474","4,157","$532,177,324",Dec 16,Walt Disney Studios Motion Pictures,false
26,Wonder,-,-,-,"$121,559,294","3,519","$132,422,809",Nov 17,Lionsgate,false
27,La La Land,-,-,-,"$120,121,532","3,236","$151,101,803",Dec 9,Lionsgate,false
28,Sing,-,-,-,"$117,541,430","4,029","$270,395,425",Dec 21,Universal Pictures,false
29,Girls Trip,-,-,-,"$115,171,585","2,648","$115,171,585",Jul 21,Universal Pictures,false
30,Fifty Shades Darker,-,-,-,"$114,581,250","3,714","$114,581,250",Feb 10,Universal Pictures,false
31,Baby Driver,-,-,-,"$107,825,862","3,226","$107,825,862",Jun 28,TriStar Pictures,false
32,Annabelle: Creation,-,-,-,"$102,092,201","3,565","$102,092,201",Aug 11,Warner Bros.,false
33,Daddy's Home 2,-,-,-,"$101,791,381","3,575","$104,029,443",Nov 10,Paramount Pictures,false
34,Murder on the Orient Express,-,-,-,"$100,619,624","3,354","$102,826,543",Nov 10,Twentieth Century Fox,false
35,Kingsman: The Golden Circle,-,-,-,"$100,225,686","4,038","$100,229,647",Sep 22,Twentieth Century Fox,false
36,John Wick: Chapter 2,-,-,-,"$92,029,184","3,113","$92,029,184",Feb 10,Lionsgate,false
37,Blade Runner 2049,-,-,-,"$91,654,512","4,058","$92,054,159",Oct 6,Warner Bros.,false
38,The Emoji Movie,-,-,-,"$86,089,513","4,075","$86,089,513",Jul 28,Sony Pictures Entertainment (SPE),false
39,Power Rangers,-,-,-,"$85,364,450","3,693","$85,364,450",Mar 24,Lionsgate,false
40,The Mummy,-,-,-,"$80,227,895","4,035","$80,227,895",Jun 9,Universal Pictures,false
41,The Hitman's Bodyguard,-,-,-,"$75,468,583","3,377","$75,468,583",Aug 18,Lionsgate,false
42,Alien: Covenant,-,-,-,"$74,262,031","3,772","$74,262,031",May 19,Twentieth Century Fox,false
43,Captain Underpants: The First Epic Movie,-,-,-,"$73,921,000","3,529","$73,921,000",Jun 2,Twentieth Century Fox,false
44,A Bad Moms Christmas,-,-,-,"$71,891,988","3,615","$72,110,659",Nov 1,STX Entertainment,false
45,A Dog's Purpose,-,-,-,"$64,508,620","3,178","$64,508,620",Jan 27,Universal Pictures,false
46,Pitch Perfect 3,-,-,-,"$63,300,605","3,468","$104,897,530",Dec 22,Universal Pictures,false
47,The Lego Ninjago Movie,-,-,-,"$59,281,555","4,047","$59,281,555",Sep 22,Warner Bros.,false
48,Baywatch,-,-,-,"$58,060,186","3,647","$58,060,186",May 25,Paramount Pictures,false
49,The Shack,-,-,-,"$57,386,418","2,888","$57,386,418",Mar 3,Lionsgate,false
50,Happy Death Day,-,-,-,"$55,683,845","3,535","$55,683,845",Oct 13,Universal Pictures,false
51,Ferdinand,-,-,-,"$53,546,717","3,630","$84,410,380",Dec 15,Twentieth Century Fox,false
52,Atomic Blonde,-,-,-,"$51,687,870","3,326","$51,687,870",Jul 28,Focus Features,false
53,American Made,-,-,-,"$51,342,000","3,098","$51,342,000",Sep 29,Universal Pictures,false
54,The Dark Tower,-,-,-,"$50,701,325","3,451","$50,701,325",Aug 4,Sony Pictures Entertainment (SPE),false
55,The Greatest Showman,-,-,-,"$49,036,718","3,342","$174,340,174",Dec 20,Twentieth Century Fox,false
56,Boo 2! A Madea Halloween,-,-,-,"$47,319,572","2,388","$47,319,572",Oct 20,Lionsgate,false
57,Lion,-,-,-,"$46,435,205","1,802","$51,738,905",Nov 25,The Weinstein Company,false
58,Snatched,-,-,-,"$45,852,178","3,511","$45,852,178",May 12,Twentieth Century Fox,false
59,The Great Wall,-,-,-,"$45,540,830","3,328","$45,540,830",Feb 17,Universal Pictures,false
60,Smurfs: The Lost Village,-,-,-,"$45,020,282","3,610","$45,020,282",Apr 7,Sony Pictures Entertainment (SPE),false
61,Going in Style,-,-,-,"$45,018,541","3,076","$45,018,541",Apr 7,Warner Bros.,false
62,All Eyez on Me,-,-,-,"$44,922,302","2,471","$44,922,302",Jun 16,Lionsgate,false
63,xXx: Return of Xander Cage,-,-,-,"$44,898,413","3,651","$44,898,413",Jan 20,Paramount Pictures,false
64,Passengers,-,-,-,"$44,634,490","3,478","$100,014,699",Dec 21,Sony Pictures Entertainment (SPE),false
