Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
61,The Incredible 25th Year of Mitzi Bearclaw,-,-,-,"$2,893",2,"$2,893",12-Feb,Indican Pictures,FALSE
62,Mother to Earth,-,-,-,"$2,247",-,"$2,250",22-Jan,54&O Productions,FALSE
63,A Glitch in the Matrix,-,-,-,"$2,238",19,"$2,238",05-Feb,Magnolia Pictures,FALSE
64,The Forgotten Carols,-,-,-,"$1,560",70,"$502,252",20-Nov,Purdie Distribution,FALSE
65,Skyfire,-,-,-,"$1,105",2,"$1,105",12-Feb,Screen Media Films,FALSE
66,In the Life of Music,-,-,-,$912,1,"$7,238",14-Aug,Indican Pictures,FALSE
67,Killer Raccoons! 2! Dark Christmas in the Dark!,-,-,-,$900,12,"$13,282",31-Jul,Indican Pictures,FALSE
68,"Amigo Skate, Cuba",-,-,-,$800,1,"$3,032",20-Nov,Indican Pictures,FALSE
69,The Bra,-,-,-,$572,2,"$8,314",16-Oct,Indican Pictures,FALSE
70,The Rescue,-,-,-,$307,61,"$18,797",18-Dec,CMC Pictures,FALSE
