Brand                   ,Description                                                          ,Catérogie   ,Format (petit)         ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Olymel                  ,Bacon tranché en vrac coupe du centre 16/18 5 kg                     ,charcuterie ,N/A                    ,N/A        ,N/A           ,caisse (5kg)       ,65.99      ,1.32          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-tranche-vrac-coupe-du-centre-1618-olymel-31450/
Olymel                  ,Bacon à l'érable tranché 375 g                                       ,charcuterie ,unité (375g)           ,4.79       ,1.277         ,caisse (24X375g)   ,108.99     ,1.211         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bacon-a-lerable-tranche-olymel-26634/
Fumagalli               ,Bajoue de porc salé à sec assaisonné 1 kg                            ,charcuterie ,unité (env. 1 kg)      ,26.99      ,2.699         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bacon-et-pancetta/bajoue-de-porc-sale-a-sec-assaisonne-fumagalli-21571/
Au P'TIT Marché         ,Bisque de homard 275 g                                               ,charcuterie ,unité (275g)           ,2.99       ,1.087         ,caisse (12x275g)   ,40.99      ,1.242         ,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/Fruits-de-mer-divers-surgeles/bisque-de-homard-au-ptit-marche-53056/
Maison Fayard           ,Bloc de foie gras d'oie 130 g                                        ,charcuterie ,unité (130g)           ,15.99      ,12.3          ,caisse (12x130g)   ,173.99     ,11.153        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-doie-maison-fayard-28473/
Delpeyrat               ,Bloc de foie gras de canard 120 g                                    ,charcuterie ,unité (120g)           ,14.99      ,12.492        ,caisse (12X120g)   ,151.99     ,10.555        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-delpeyrat-28437/
Maison Fayard           ,Bloc de foie gras de canard 130 g                                    ,charcuterie ,unité (130g)           ,15.99      ,12.3          ,caisse (12X130g)   ,173.99     ,11.153        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28472/
Maison Fayard           ,Bloc de foie gras de canard 65 g                                     ,charcuterie ,unité (65g)            ,9.99       ,15.369        ,caisse (20x65g)    ,169.99     ,13.076        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28477/
Maison Fayard           ,Bloc de foie gras de canard 65 g                                     ,charcuterie ,unité (65g)            ,9.99       ,15.369        ,caisse (20x65g)    ,169.99     ,13.076        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-maison-fayard-28477/
Delpeyrat               ,Bloc de foie gras de canard au vin Saint Emilion 100 g               ,charcuterie ,unité (100g)           ,14.99      ,14.99         ,caisse (12X100g)   ,151.99     ,12.666        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-au-vin-saint-emilion-delpeyrat-28435/
Delpeyrat               ,Bloc de foie gras de canard au vin Saint Emilion 100 g               ,charcuterie ,unité (100g)           ,14.99      ,14.99         ,caisse (12X100g)   ,151.99     ,12.666        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-au-vin-saint-emilion-delpeyrat-28435/
Maison Fayard           ,Bloc de foie gras de canard avec trancheuse 200 g                    ,charcuterie ,unité (200g)           ,28.99      ,14.495        ,caisse (12X200g)   ,306.99     ,12.791        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-avec-trancheuse-maison-fayard-28471/
Maison Fayard           ,Bloc de foie gras de canard avec trancheuse 200 g                    ,charcuterie ,unité (200g)           ,28.99      ,14.495        ,caisse (12X200g)   ,306.99     ,12.791        ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/bloc-de-foie-gras-de-canard-avec-trancheuse-maison-fayard-28471/
Lafleur                 ,Bologna Coton                                                        ,charcuterie ,"unité (env. 4,5 kg)"  ,6.99       ,0.155         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/cotton-bologna-lafleur-21390/
Lafleur                 ,Bologna Coton                                                        ,charcuterie ,"unité (env. 4,5 kg)"  ,6.99       ,0.155         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/cotton-bologna-lafleur-21390/
Flamingo                ,Bologne au poulet                                                    ,charcuterie ,"unité (env. 4,5 kg)"  ,6.99       ,0.155         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-au-poulet-flamingo-29472/
Alex Meat               ,Bologne bébé rond                                                    ,charcuterie ,unité (env. 1 kg)      ,16.99      ,1.699         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-bebe-rond-alex-meat-31026/
Lesters                 ,Bologne coton entier 4 kg                                            ,charcuterie ,unité (env. 4 kg)      ,5.67       ,0.142         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-coton-entier-lesters-05554/
Lesters                 ,Bologne régulier entier 4 kg                                         ,charcuterie ,unité (env. 4 kg)      ,5.67       ,0.142         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-regulier-entier-lesters-05550/
Olymel                  ,Bologne régulier entier 4 kg                                         ,charcuterie ,unité (4kg)            ,18.99      ,0.475         ,caisse (2x4kg)     ,37.99      ,0.475         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-regulier-entier-olymel-26486/
Gaspésien               ,"Bologne super premium 4,5 kg"                                       ,charcuterie ,"unité (env. 4,5 kg)"  ,6.77       ,0.15          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-super-premium-gaspesien-23608/
Gaspésien               ,Bologne super premium tranché 200 g                                  ,charcuterie ,unité (200g)           ,2.99       ,1.495         ,caisse (12X200g)   ,32.99      ,1.375         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-super-premium-tranche-gaspesien-23611/
Gaspésien               ,Bologne super premium tranché 200 g                                  ,charcuterie ,unité (200g)           ,2.99       ,1.495         ,caisse (12X200g)   ,32.99      ,1.375         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-super-premium-tranche-gaspesien-23611/
Yves veggie             ,Bologne végétarien tranché 155 g                                     ,charcuterie ,unité (155g)           ,3.79       ,2.445         ,caisse (12x155g)   ,40.99      ,2.204         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/viande-vege/bologne-veggie-tranche-yves-veggie-28033/
Lesters                 ,Bologne à griller 675 g                                              ,charcuterie ,unité (675g)           ,4.99       ,0.739         ,caisse (8X675g)    ,35.99      ,0.666         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-a-griller-lesters-27682/
Lesters                 ,Bologne à l'ail 675 g                                                ,charcuterie ,unité (600g)           ,4.99       ,0.832         ,caisse (8X600g)    ,35.99      ,0.75          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-a-lail-lesters-27683/
Lesters                 ,"Bologne à l'ail carrée 1,6 kg"                                      ,charcuterie ,"unité (env. 1,6 kg)"  ,6.99       ,0.437         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-a-lail-carree-lesters-05551/
Lesters                 ,"Bologne à l'ail carrée 1,6 kg"                                      ,charcuterie ,"unité (env. 1,6 kg)"  ,6.99       ,0.437         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-a-lail-carree-lesters-05551/
Olymel                  ,Bologne à l'ail entier 2 kg                                          ,charcuterie ,unité (env. 2 kg)      ,7.49       ,0.374         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/bologne/bologne-a-lail-entier-olymel-47262/
Yves veggie             ,Bouchées de brocoli 240 g                                            ,charcuterie ,unité (240g)           ,6.49       ,2.704         ,caisse (6x240g)    ,33.99      ,2.36          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/viande-vege/bouchee-de-brocoli-yves-veggie-31635/
3 Cochons Gourmands     ,Boudin noir pré tranché 110 g                                        ,charcuterie ,unité (110g)           ,3.79       ,3.445         ,caisse (10x110g)   ,29.99      ,2.726         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/saucisse/boudin-noir-pre-tranche-sans-gluten-100-porc-3-cochons-gourmands-29471/
Yves veggie             ,Boulettes falafel 240 g                                              ,charcuterie ,unité (240g)           ,5.99       ,2.496         ,caisse (6x240g)    ,31.99      ,2.222         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/viande-vege/boulette-falafel-yves-veggie-39406/
Plaisirs Gastronomiques ,Boulettes à l'italienne 700 g                                        ,charcuterie ,unité (700g)           ,8.99       ,1.284         ,caisse (8x700g)    ,71.99      ,1.286         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/mets-prepare/boulettes-a-litalienne-plaisirs-gastronomiques-29687/
Piaceri d'Italia        ,Bresaola tranchée 100 g                                              ,charcuterie ,unité (100g)           ,7.99       ,7.99          ,caisse (10x100g)   ,69.99      ,6.999         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/prosciutto/bresaola-tranche-piaceri-ditalia-26674/
Fontaine Santé          ,Bruschetta traditionnelle 340g                                       ,charcuterie ,unité (340g)           ,5.29       ,1.556         ,caisse (6X340g)    ,26.99      ,1.323         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/hummus-et-trempette/bruschetta-traditionnelle-fontaine-sante-18145/
