Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Schweppes,Boisson gazeuse Club Soda 355 ml,boisson,N/A,N/A,N/A,caisse (12X355ml),5.49,0.129,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-club-soda-schweppes-41378/
Coke,Boisson gazeuse Coca Cola diète 355 ml x24,boisson,N/A,N/A,N/A,caisse (24x355ml),8.79,0.103,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-coca-cola-diete-coke-13586/
Cola Couronne,Boisson gazeuse Cola champagne 2 L,boisson,unité (2L),2.59,0.13,caisse (8X2L),17.49,0.109,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-cola-champagne-cola-couronne-36837/
Cola Couronne,Boisson gazeuse Cola champagne 591 ml,boisson,N/A,N/A,N/A,caisse (12X591ml),10.29,0.145,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-cola-champagne-cola-couronne-36836/
Pepsi,Boisson gazeuse Pepsi 355 ml x24,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-pepsi-pepsi-13300/
Mug,Boisson gazeuse Racinette 355 ml,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-racinette-mug-29344/
Seven Up,Boisson gazeuse Seven Up 355 ml x24,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-seven-up-x24-seven-up-13630/
Seven Up,Boisson gazeuse Seven Up zéro 355 ml,boisson,N/A,N/A,N/A,caisse (24x355ml),8.99,0.106,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-seven-up-diet-seven-up-13629/
Sprite,Boisson gazeuse Sprite 355 ml x24,boisson,N/A,N/A,N/A,caisse (24x355ml),8.79,0.103,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-sprite-x24-sprite-13639/
Stappino,Boisson gazeuse Stappi jaune 100 ml,boisson,unité (6x100ml),3.39,56.5,caisse (4x6x100ml),12.29,0.512,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-stappi-jaune-stappino-11747/
Stappi,Boisson gazeuse Stappi rouge 100 ml,boisson,unité (6X100ml),3.39,56.5,caisse (4X6X100ml),12.29,0.512,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-stappi-rouge-stappi-32056/
Stappi,Boisson gazeuse au chinotto Stappi 200 ml,boisson,unité (6X200ml),4.49,74.833,caisse (4X6X200ml),15.99,0.333,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-au-chinotto-stappi-stappi-36883/
Makaya,Boisson gazeuse banane 12 x 591 ml,boisson,N/A,N/A,N/A,caisse (12X591ml),10.29,0.145,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-banane-x-12-makaya-27293/
Malta creole,Boisson gazeuse de malte 355 ml,boisson,unité (6X355ml),9.99,166.5,caisse (4X6X355ml),34.99,0.411,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-de-malte-malta-creole-49404/
Brio,Boisson gazeuse italienne au chinotto Stappi 1 L,boisson,unité (1L),1.69,0.169,caisse (12X1L),17.99,0.15,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-italienne-au-chinotto-stappi-brio-32603/
Brio,Boisson gazeuse italienne chinotto 12 x 255 ml,boisson,N/A,N/A,N/A,caisse (12X355ml),7.99,0.188,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-italienne-chinotto-brio-24321/
A&W,Boisson gazeuse racinette 355 ml,boisson,N/A,N/A,N/A,caisse (12x355ml),5.49,0.129,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-gazeuse-racinette-aw-07675/
