Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Lapaco,"Chapeau de chef 25,4 cm / 10",equipement,unité (1un),1.99,1.99,caisse (24x1un),37.99,1.583,https://www.mayrand.ca/fr/nos-produits/equipement/vetement/chapeau-et-casquette/chapeau-du-chef-10-lapaco-27319/
Lapaco,Chapeau sanitaire en filet X100,equipement,unité (100un),39.99,0.4,caisse ,199.99,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/vetement/chapeau-et-casquette/chapeau-sanitaire-en-filet-lapaco-10123/
Sagetra,Chariot aluminium pour tôles à biscuits 12 étages,equipement,unité (1un),129.99,129.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/chariot/chariot-de-rangement/chariot-aluminium-pour-toles-a-biscuits-12-etages-sagetra-25213/
Sagetra,Chariot aluminium pour tôles à biscuits 20 étages,equipement,unité (1un),144.99,144.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/chariot/chariot-de-rangement/chariot-aluminium-pour-toles-a-biscuits-20-etages-sagetra-23876/
Sagetra,Contenant alimentaire 30 L,equipement,unité (1un),34.99,34.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-alimentaire-sagetra-25102/
Sagetra,Contenant alimentaire 45 L,equipement,unité (1un),42.99,42.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-alimentaire-sagetra-25103/
Sagetra,Contenant carré transparent 12 L,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-12l-sagetra-21129/
Sagetra,Contenant carré transparent 18 L,equipement,unité (1un),41.99,41.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-18l-sagetra-21130/
Sagetra,Contenant carré transparent 2 L,equipement,unité (1un),7.99,7.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-2-l-sagetra-21137/
Sagetra,"Contenant carré transparent 3,5 L",equipement,unité (1un),11.99,11.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-35l-sagetra-21131/
Sagetra,Contenant carré transparent 6 L,equipement,unité (1un),15.99,15.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-6l-sagetra-21132/
Sagetra,Contenant carré transparent 7 L,equipement,unité (1un),18.99,18.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-carre-transparent-7-l-sagetra-21133/
IEL,"Contenant et couvercle 2,5 L",equipement,unité (1un),2.29,2.29,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-avec-couvercle-transparent-2.5l-iel-26864/
IEL,Contenant rectangle sans anse blanc 4L,equipement,unité (1un),3.29,3.29,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangle-sans-anse-blanc-4l-iel-26866/
IEL,Contenant rectangulaire 8 L,equipement,unité (1un),5.99,5.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangle-avec-anse-blanc-8l-iel-26867/
IEL,Contenant rectangulaire avec couvercle 10 L,equipement,unité (10L),9.39,0.094,caisse (12X10L),96.79,0.081,https://www.mayrand.ca/fr/nos-produits/equipement/bac/bac-alimentaire/contenant-rectangulaire-avec-couvercle-iel-49960/
