Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Eilat,"Assiette en papier 22,9 cm / 9'' x100",emballage,unité (100un),2.99,0.03,caisse (12x100un),31.99,0.027,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-en-papier-9-eilat-10183/
Gold Star,"Assiette en papier 22,9 cm / 9'' x100",emballage,unité (100un),2.99,0.03,caisse (12X100un),32.99,0.027,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-en-papier-9-gold-star-29077/
Polaronde,"Assiette en plastique avec 3 compartiments 22,9 cm / 9'' x125",emballage,unité (125un),39.99,0.32,caisse (4x125un),149.99,0.3,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-en-plastique-3-compartiments-9-polaronde-21387/
Table Accents,"Assiette en plastique blanche 15,2 cm / 6 x125",emballage,unité (125un),8.49,0.068,caisse (8X125un),63.99,0.064,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-plastique-blanche-6-table-accents-21523/
Table Accents,"Assiette en plastique blanche 22,9 cm / 9 x125",emballage,unité (125un),14.49,0.116,caisse (4x125un),57.99,0.116,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-plastique-blanche-9-table-accents-21525/
Dart,"Assiette en plastique ovale 22,9 cm / 9'' x125",emballage,unité (125un),16.99,0.136,caisse (4X125un),57.99,0.116,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-ovale-9-dart-22937/
Dart,"Assiette en plastique ovale 27,9 cm / 11'' x125",emballage,unité (125un),29.99,0.24,caisse (4X125un),97.99,0.196,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-ovale-11-dart-22938/
Premium Collection,"Assiette en plastique transparente 22,9 cm / 9'' x20",emballage,unité (20un),7.99,0.4,caisse (12X20un),76.99,0.321,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-transparente-9-premium-collection-34793/
Dart,"Assiette en styromousse 15,2 cm / 6'' x125",emballage,unité (125un),4.39,0.035,caisse (8X125un),31.99,0.032,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-jetable-en-styromousse-6-dart-17349/
Dart,"Assiette en styromousse 22,9 cm / 9'' x125",emballage,unité (125un),7.99,0.064,caisse (4X125un),29.99,0.06,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-jetable-en-styromousse-9-dart-17352/
Mr,Assiette ovale noire,emballage,unité (1un),4.39,4.39,caisse (25un),92.99,3.72,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-ovale-noire-18-14-x-12-34-mr-35608/
Dixie,Assiette ovale x125,emballage,unité (125un),27.99,0.224,caisse (4x125un),106.99,0.214,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-ovale-9x11-sx11pl-dixie-48678/
Sage,Assiette ovale x125,emballage,unité (125 un),16.99,0.136,caisse (8x125un),125.99,0.126,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-ovale-7x9-sx9pl-sage-49919/
Mr,Assiette profonde 5 sections,emballage,unité (1un),3.89,3.89,caisse (25un),88.99,3.56,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-profonde-5-sections-16-18-x-1-34-mr-35607/
Mr,Assiette profonde 5 sections,emballage,unité (1un),3.89,3.89,caisse (25un),88.99,3.56,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-profonde-5-sections-16-18-x-1-34-mr-35607/
Standa,Assiette présentation en argent 13,emballage,unité (1un),2.69,2.69,caisse (24x1un),53.99,2.25,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-de-presentation-argent-13-standa-10802/
Standa,Assiette présentation florale or 13,emballage,unité (1un),2.69,2.69,caisse (24x1un),53.99,2.25,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-or-floral-13-standa-11371/
Standa,Assiette présentation or 13,emballage,unité (1un),2.69,2.69,caisse (24x1un),53.99,2.25,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-de-presentation-or-13-standa-08329/
Standa,Assiette présentation or 13,emballage,unité (1un),2.69,2.69,caisse (24x1un),53.99,2.25,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-de-presentation-or-13-standa-08329/
Yoshi,"Assiette rectangulaire 30,5 cm x 17,8 cm / 12 x 7,5 x10",emballage,unité (10un),11.99,1.199,caisse (12x10un),125.89,1.049,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-rectangulaire-12x75-yoshi-15767/
Yoshi,"Assiette transparente rectangulaire 17,8 cm x 12,7 cm x10",emballage,unité (10un),5.29,0.529,caisse (12x10un),55.99,0.467,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-transparente-rectangulaire-75x55x10-yoshi-15786/
Dart,"Assiette à 3 compartiments 22,9 cm / 9 x125",emballage,unité (125un),9.59,0.077,caisse (4X125un),34.99,0.07,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-3-compartiments-concorde-9-dart-17350/
Dart,"Assiette à 3 compartiments 25,4 cm / 10'' x125",emballage,unité (125un),19.99,0.16,caisse (4x125un),69.99,0.14,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-3-compartiments-10-dart-17353/
Yoshi,"Assiette à dessert blanche 16,5 cm / 6,5 x10",emballage,unité (10un),4.99,0.499,caisse (12x10un),48.99,0.408,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiettes-dessert-blanches-165-cm--65-yoshi-14489/
Yoshi,"Assiette à dessert carrée transparente 16,5 cm / 6,5'' x10",emballage,unité (10un),4.39,0.439,caisse (12x10un),46.29,0.386,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-dessert-carree-transparente-65-yoshi-14588/
Yoshi,"Assiette à dessert carrée transparente 16,5 cm / 6,5'' x10",emballage,unité (10un),4.39,0.439,caisse (12x10un),46.29,0.386,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-dessert-carree-transparente-65-yoshi-14588/
Yoshi,"Assiette à dessert noire 16,5 cm / 6,5 x10",emballage,unité (10un),4.39,0.439,caisse (12x10un),46.29,0.386,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-dessert-noire-jetable-65-yoshi-14490/
Yoshi,"Assiette à dîner blanche 26,7 cm / 10,5 x10",emballage,unité (10un),12.99,1.299,caisse (12x10un),135.99,1.133,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-diner-blanche-105-yoshi-14589/
Yoshi,"Assiette à dîner blanche et argenté 25,4 cm x10",emballage,unité (10un),11.19,1.119,caisse (12x10un),117.79,0.982,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-diner-blanche-avec-filet-argent-1025-yoshi-15764/
Yoshi,"Assiette à dîner blanche et or 25,4 cm x10",emballage,unité (10un),11.19,1.119,caisse (12x10un),117.79,0.982,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-diner-blanche-avec-filet-dore-1025-yoshi-15765/
Table Accents,"Assiette à dîner compostable 17,7 cm / 7 x125",emballage,unité (125un),7.99,0.064,caisse (8X125un),57.99,0.058,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-compostable-7-table-accents-23751/
