Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Califia Farms,"Boisson aux amandes 1,4 L",produits-laitiers,unité (1.4L),6.49,0.464,caisse (6X1.4L),33.99,0.405,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-califia-farms-24751/
Silk,"Boisson aux amandes 1,89 L",produits-laitiers,unité (1.89L),4.49,0.238,caisse (6X1.89L),24.99,0.22,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-silk-33158/
Silk,"Boisson aux amandes et chocolat noir 1,89 L",produits-laitiers,unité (1.89L),4.49,0.238,caisse (6X1.89L),24.99,0.22,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-et-chocolat-noir-silk-33155/
Silk,"Boisson aux amandes et vanille 1,89 L",produits-laitiers,unité (1.89L),4.49,0.238,caisse (6X1.89L),24.99,0.22,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-et-vanille-silk-33154/
Califia Farms,"Boisson aux amandes vanille 1,4 L",produits-laitiers,unité (1.4L),6.49,0.464,caisse (6X1.4L),33.99,0.405,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-vanille-califia-farms-24749/
Califia Farms,"Boisson aux amandes vanille sans sucre 1,4 L",produits-laitiers,unité (1.4L),6.49,0.464,caisse (6X1.4L),33.99,0.405,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-aux-amandes-vanille-sans-sucre-califia-farms-24750/
Silk,"Boisson d'avoine non sucrée 1,75 L",produits-laitiers,unité (1.75L),4.49,0.257,caisse (6X1.75L),24.99,0.238,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-davoine-yeah-non-sucre-silk-31577/
Sunny Delight,Boisson originale à l'orange 500 ml,produits-laitiers,unité (500ml),1.49,0.298,caisse (12x500ml),15.79,0.263,https://www.mayrand.ca/fr/nos-produits/boisson/jus-et-boisson/jus-frais/boisson-originale-a-lorange-sunny-delight-44939/
Silk,Boisson prêt à mousser vanillée à l'avoine 890 ml,produits-laitiers,unité (890ml),4.69,0.527,caisse (12x890ml),50.99,0.477,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-pret-a-mousser-vanillee-a-lavoine-silk-31578/
Silk,"Boisson à l'avoine chocolat 1,75 L",produits-laitiers,unité (1.75L),4.49,0.257,caisse (6x1.75L),24.99,0.238,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-a-lavoine-chocolat-silk-29102/
Silk,"Boisson à l'avoine nature 1,75 L",produits-laitiers,unité (1.75L),4.49,0.257,caisse (6X1.75L),24.99,0.238,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-a-lavoine-nature-silk-29101/
Silk,"Boisson à l'avoine à la vanille 1,75 L",produits-laitiers,unité (1.75L),4.49,0.257,caisse (6X1.75L),24.99,0.238,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-a-lavoine-a-la-vanille-silk-29100/
Silk,"Boisson à la noix de coco 1,89 L",produits-laitiers,unité (1.89L),4.49,0.238,caisse (6X1.89L),24.99,0.22,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/lait-vegetal-frais/boisson-a-la-noix-de-coco-silk-33153/
