Brand             ,Description                                                       ,Catérogie    ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)   ,Prix Total ,Prix unitaire ,URL
Mujjol            ,Caviar noir 550 g                                                 ,poissonnerie ,unité (550g)            ,37.99      ,6.907         ,caisse (12x550g) ,406.99     ,6.167         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/caviar-noir-mujjol-29533/
Artisan de Mer    ,Crabe Cake surgelé 300 g                                          ,poissonnerie ,unité (300 g)           ,10.59      ,3.53          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/autre-047bb820/crabe-cake-artisan-de-mer-54033/
Not available     ,Crabe des neiges cuit et congelé                                  ,poissonnerie ,unité (env. 1 kg)       ,47.99      ,4.799         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/crabe/crabe-des-neiges-congele-et-cuit--53044/
Not available     ,Crabes des neiges cuits                                           ,poissonnerie ,unité (env. 1 kg)       ,54.99      ,5.499         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/crabe/crabe-des-neiges-frais-cuit--54226/
Not available     ,Crevettes nordiques décongelées Fourchette bleue 200 g            ,poissonnerie ,"unité (env. 0,2 kg)"   ,29.99      ,14.995        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/crevette-nordique-decongele-un--51915/
Not available     ,Crevettes nordiques fraîches du Québec Fourchette bleue 200 g     ,poissonnerie ,"unité (env. 0,2 kg)"   ,29.99      ,14.995        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/crevette-nordique-frais-un--51917/
Atkins et frères  ,Crevettes nordiques fumées Fourchette bleue 227 g                 ,poissonnerie ,unité (227g)            ,13.99      ,6.163         ,caisse (8x227g)  ,105.99     ,5.836         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/crevette/crevettes-nordiques-fumees-atkins-et-freres-53109/
Artisan de Mer    ,Crêpes aux fruits de mer surgelées 300 g                          ,poissonnerie ,unité (300 g)           ,10.59      ,3.53          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/autre-047bb820/crepe-aux-fruits-de-mer-artisan-de-mer-54032/
Not available     ,Darne de requin frais 600 g                                       ,poissonnerie ,"unité (env. 0,6 kg)"   ,9.99       ,1.665         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/darne-de-requin-frais--53020/
Not available     ,Darne de saumon fraîche 220 g                                     ,poissonnerie ,"unité (env. 0,22 kg)"  ,19.82      ,9.009         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/darne-de-saumon-fraiche--52949/
Not available     ,Darne de thon frais 250 g                                         ,poissonnerie ,"unité (env. 0,25 kg)"  ,51.99      ,20.796        ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/darne-de-thon-frais--50904/
Not available     ,Darnes d'espadon décongelées                                      ,poissonnerie ,unité (env. 1 kg)       ,24.2       ,2.42          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/espadon-en-darne-frais------kg--53075/
Not available     ,Darnes de marlin bleu frais                                       ,poissonnerie ,unité (env. 1 kg)       ,25.99      ,2.599         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/marlin-bleu-en-darne-frais--kg--53076/
Not available     ,Darnes de saumon frais format économique 750 g                    ,poissonnerie ,"unité (env. 0,75 kg)"  ,17.61      ,2.348         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/saumon-darnes-frais-fe-----kg--53061/
Not available     ,Dorade grise entière fraîche 500 g                                ,poissonnerie ,"unité (env. 0,5 kg)"   ,8.99       ,1.798         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/dorade-grise-entiere-fraiche---52940/
Not available     ,Dorade royale entière fraîche 500 g                               ,poissonnerie ,"unité (env. 0,5 kg)"   ,20.99      ,4.198         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/dorade-royale-entiere-fraiche--52921/
Not available     ,Duo d'huîtres de l'île du Prince Édouard                          ,poissonnerie ,unité (24un)            ,34.99      ,1.458         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/duo-dhuitres--50047/
Not available     ,Effiloché de saumon fumé                                          ,poissonnerie ,unité (env. 1 kg)       ,24.99      ,2.499         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/saumon/saumon-fume-trimure---------kg--53074/
Not available     ,Encre de calamar                                                  ,poissonnerie ,unité (env. 1 kg)       ,59.99      ,5.999         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/calamar/encre-de-calmar-500g--------kg--53082/
Not available     ,Esturgeon fumé                                                    ,poissonnerie ,unité (env. 1 kg)       ,26.99      ,2.699         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/esturgeon-fume--------------kg--53077/
Not available     ,Filet d'aiglefin frais 200 g                                      ,poissonnerie ,"unité (env. 0,2 kg)"   ,17.61      ,8.805         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-daiglefin-frais--52931/
Not available     ,Filet d'aiglefin frais format économique 600 g                    ,poissonnerie ,"unité (env. 0,6 kg)"   ,17.61      ,2.935         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-daiglefin-frais-format-economique--52933/
Not available     ,Filet d'omble chevalier frais du Québec                           ,poissonnerie ,"unité (env. 0,3 kg)"   ,36.99      ,12.33         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/truite/omble-chevalier-frais--53998/
Not available     ,Filet de doré canadien congelé                                    ,poissonnerie ,"unité (env. 0,6 kg)"   ,18.99      ,3.165         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/dore-filet-canadin-fe-fr---kg--53063/
Not available     ,Filet de doré canadien frais 300 g                                ,poissonnerie ,"unité (env. 0,3 kg)"   ,19.99      ,6.663         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/dore-filet-canadien---kg--53062/
Not available     ,Filet de lotte décongelé 200 g                                    ,poissonnerie ,"unité (env. 0,2 kg)"   ,18.99      ,9.495         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/lotte-filet-decongele-------kg--53067/
Not available     ,Filet de lotte décongelé 200 g                                    ,poissonnerie ,"unité (env. 0,2 kg)"   ,18.99      ,9.495         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/lotte-filet-decongele-------kg--53067/
Not available     ,Filet de lotte décongelé format économique Fourchette bleue 600 g ,poissonnerie ,"unité (env. 0,6 kg)"   ,17.99      ,2.998         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/lotte-filet-decongele-fe---kg--53068/
Not available     ,Filet de lotte frais                                              ,poissonnerie ,unité (env. 1 kg)       ,28.99      ,2.899         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/filet-de-lotte-frais--53002/
